,Player,Age,Team,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PointShare,EV,PP,SH,GW,EV.1,PP.1,SH.1,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,Pos,GP,GoalsCreated,GoalsPerGame,AssistsPerGame,PointsPerGame,GoalsCreatedPerGame,PenaltyMinutesPerGame,ShotsPerGame,AdjustedGoals,AdjustedAssists,AdjustedPts,AdjustedGoalsCreated,TGF,PGF,TGA,PGA,xGF,xGA,ExpectedPlusMinus,OPS,DPS,PointShares
129,Gabriel Carlsson,25,CBJ,D,38,2,7,9,6,10,1.8,2,0,0,0,7,0,0,18,11.1,466,736,33,27,0,0,,379,412,47.9,0.6,282,318,47.0,0.5,11.3,92.7,104.0,55.6,44.4,736,692,7,4,38,47.4,D,38,3,0.05,0.18,0.24,0.08,0.26,0.47,2,7,9,3,23,0,20,3,17.3,21.5,-4.2,0.5,1.3,1.8
130,Lucas Carlsson,24,FLA,D,40,3,6,9,3,10,1.3,3,0,0,0,6,0,0,41,7.3,508,763,29,39,0,0,,513,416,55.2,-1.7,382,321,54.3,-2.2,8.4,91.2,99.7,62.2,37.8,763,750,7,12,85,48.2,D,40,3,0.08,0.15,0.23,0.08,0.25,1.03,3,6,9,3,26,1,22,0,27.2,20.2,7.0,0.5,0.8,1.3
131,Ryan Carpenter,31,TOT,C,67,3,9,12,-11,36,-0.2,3,0,0,2,8,1,0,67,4.5,843,755,44,136,200,188,51.5,555,601,48.0,0.2,399,436,47.8,-0.2,6.2,91.5,97.7,26.8,73.2,755,617,19,11,117,57.3,C,67,4,0.04,0.13,0.18,0.06,0.54,1.0,3,9,12,4,19,2,50,22,21.5,27.5,-6.0,-0.9,0.7,-0.2
132,Sam Carrick,29,ANA,C,64,11,8,19,-12,85,1.4,11,0,0,0,8,0,0,80,13.8,734,688,21,122,204,209,49.4,566,664,46.0,-2.5,428,502,46.0,-2.7,7.1,90.7,97.8,44.3,55.7,688,628,14,14,139,57.6,C,64,8,0.17,0.13,0.3,0.13,1.33,1.25,11,8,19,8,22,0,40,6,23.9,29.7,-5.8,0.9,0.5,1.4
133,Alexandre Carrier,25,NSH,D,77,3,27,30,26,50,6.4,2,1,0,0,23,3,1,95,3.2,1616,1259,124,95,0,1,0.0,1120,1248,47.3,-3.1,871,945,48.0,-2.7,9.9,94.7,104.6,43.9,56.1,1259,1027,27,39,188,50.5,D,77,9,0.04,0.35,0.39,0.11,0.65,1.23,3,26,29,9,73,9,63,25,51.2,54.2,-3.0,1.1,5.2,6.4
134,William Carrier,27,VEG,LW,63,9,11,20,7,34,1.8,9,0,0,0,11,0,0,120,7.5,732,697,24,159,4,4,50.0,772,611,55.8,3.2,588,434,57.5,4.3,8.2,90.9,99.1,51.2,48.8,697,683,24,12,194,61.9,LW,63,8,0.14,0.17,0.32,0.13,0.54,1.9,9,10,19,8,35,0,30,2,37.4,27.4,10.0,0.8,1.0,1.8
135,Jeff Carter,37,PIT,C,76,19,26,45,-8,38,3.6,15,3,1,2,23,3,0,200,9.5,1343,1060,50,99,648,489,57.0,932,1044,47.2,-6.1,726,780,48.2,-5.8,10.1,90.0,100.1,40.7,59.3,1060,852,33,39,315,63.5,C,76,17,0.25,0.34,0.59,0.22,0.5,2.63,18,25,43,17,70,14,72,8,44.5,46.7,-2.3,2.4,1.2,3.6
136,Jackson Cates,24,PHI,C,11,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,8,12.5,100,545,3,4,20,13,60.6,71,104,40.6,-9.6,56,78,41.8,-6.9,8.3,90.2,98.5,37.7,62.3,545,514,2,0,13,61.5,C,11,1,0.09,0.0,0.09,0.05,0.0,0.73,1,0,1,1,3,0,7,2,3.0,4.8,-1.8,-0.1,0.1,0.0
137,Noah Cates,22,PHI,LW,16,5,4,9,4,4,1.2,4,1,0,1,4,0,0,23,21.7,212,795,6,21,0,7,0.0,177,175,50.3,3.2,134,126,51.5,4.3,10.8,92.2,103.0,52.3,47.7,795,722,10,3,43,53.5,LW,16,4,0.31,0.25,0.56,0.24,0.25,1.44,5,4,9,4,12,1,9,2,8.4,6.8,1.5,0.8,0.4,1.2
138,Cole Caufield,21,MTL,RW,67,23,20,43,-24,10,3.7,18,5,0,3,12,8,0,188,12.2,1118,1001,7,18,5,5,50.0,821,895,47.8,1.7,619,691,47.3,1.6,10.7,87.1,97.8,56.0,44.0,1001,828,32,27,327,57.5,RW,67,18,0.34,0.3,0.64,0.27,0.15,2.81,22,19,41,17,65,17,72,0,38.6,48.3,-9.7,3.3,0.5,3.7
139,Cody Ceci,28,EDM,D,78,5,23,28,8,14,4.7,5,0,0,0,20,0,3,102,4.9,1630,1254,121,117,0,0,,1313,1276,50.7,-2.8,983,978,50.1,-2.5,9.7,91.0,100.6,45.0,55.0,1254,1097,15,39,213,47.9,D,78,9,0.06,0.29,0.36,0.11,0.18,1.31,5,22,27,9,74,0,89,23,64.6,58.9,5.7,1.2,3.6,4.7
140,Erik Cernak,24,TBL,D,55,1,12,13,7,46,2.6,1,0,0,0,12,0,0,86,1.2,1053,1149,73,165,0,0,,807,725,52.7,2.4,619,542,53.3,2.7,10.0,90.5,100.6,41.4,58.6,1149,975,21,17,176,48.9,D,55,4,0.02,0.22,0.24,0.07,0.84,1.56,1,11,12,4,43,0,54,18,37.4,34.5,2.9,0.1,2.6,2.6
141,Thomas Chabot,25,OTT,D,59,7,31,38,-3,26,6.1,6,1,0,1,19,12,0,173,4.0,1545,1572,93,73,0,0,,1278,1267,50.2,5.3,950,934,50.4,4.8,9.5,89.9,99.5,57.8,42.2,1572,1351,29,68,330,52.4,D,59,12,0.12,0.53,0.64,0.21,0.44,2.93,7,29,36,12,94,27,71,1,55.4,56.9,-1.5,2.5,3.6,6.1
143,Zdeno Chara,44,NYI,D,72,2,12,14,8,85,3.9,2,0,0,0,12,0,0,81,2.5,1349,1124,90,125,0,0,,966,1259,43.4,-4.4,739,925,44.4,-3.5,9.8,93.3,103.1,48.5,51.5,1124,1016,14,45,172,47.1,D,72,4,0.03,0.17,0.19,0.06,1.18,1.13,2,11,13,4,55,1,53,7,49.6,57.1,-7.5,-0.1,4.0,3.9
144,Jalen Chatfield,25,CAR,D,16,0,3,3,1,8,0.6,0,0,0,0,3,0,0,25,0.0,237,887,10,32,0,0,,228,161,58.6,0.8,171,125,57.8,-0.1,5.4,93.5,99.0,60.1,39.9,887,864,6,3,51,49.0,D,16,1,0.0,0.19,0.19,0.05,0.5,1.56,0,3,3,1,7,0,6,0,10.7,6.5,4.2,0.0,0.6,0.6
145,Ben Chiarot,30,TOT,D,74,9,17,26,-14,48,3.3,7,2,0,1,15,1,1,143,6.3,1691,1371,130,157,0,0,,1302,1341,49.3,-1.6,982,1032,48.8,-1.4,8.0,89.9,97.9,44.7,55.3,1371,1133,20,69,268,53.4,D,74,10,0.12,0.23,0.35,0.13,0.65,1.93,9,16,25,9,66,4,106,30,61.5,63.7,-2.2,1.3,2.0,3.3
146,Alex Chiasson,31,VAN,RW,67,13,9,22,4,24,2.3,7,6,0,2,5,4,0,98,13.3,779,697,18,68,10,13,43.5,565,594,48.7,-1.7,412,439,48.4,-1.8,9.3,92.6,101.9,51.3,48.7,697,584,7,10,140,70.0,RW,67,10,0.19,0.13,0.33,0.14,0.36,1.46,13,9,22,10,45,17,23,0,25.6,26.1,-0.5,1.3,1.1,2.3
147,Yegor Chinakhov,20,CBJ,RW,62,7,7,14,-27,16,-0.3,6,1,0,1,7,0,0,98,7.1,775,750,16,50,0,6,0.0,587,657,47.2,-0.4,424,526,44.6,-2.4,7.6,88.0,95.6,51.8,48.2,750,675,19,19,189,51.9,RW,62,6,0.11,0.11,0.23,0.09,0.26,1.58,7,7,14,6,29,6,51,1,23.8,37.8,-14.0,-0.1,-0.2,-0.3
149,Sasha Chmelevski,22,SJS,C,19,0,8,8,2,4,0.5,0,0,0,0,8,0,0,31,0.0,251,791,4,20,31,48,39.2,208,216,49.1,2.6,155,158,49.5,1.8,8.0,94.6,102.6,38.0,62.0,791,747,8,3,60,51.7,C,19,2,0.0,0.42,0.42,0.11,0.21,1.63,0,8,8,2,9,0,8,1,8.5,9.1,-0.6,0.1,0.5,0.5
150,Dennis Cholowski,23,TOT,D,11,0,3,3,-3,2,0.2,0,0,0,0,3,0,0,11,0.0,174,949,13,5,0,0,,154,161,48.9,-3.9,114,129,46.9,-6.0,13.3,85.7,99.0,54.0,46.0,949,886,1,5,33,33.3,D,11,1,0.0,0.27,0.27,0.07,0.18,1.0,0,3,3,1,10,0,13,0,6.3,8.5,-2.2,0.1,0.2,0.2
152,Jakob Chychrun,23,ARI,D,47,7,14,21,-20,47,2.4,6,1,0,2,14,0,0,141,5.0,1081,1380,66,51,0,0,,763,850,47.3,3.5,576,644,47.2,3.9,9.1,88.4,97.5,44.1,55.9,1380,1161,19,37,293,48.1,D,47,8,0.15,0.3,0.45,0.16,1.0,3.0,7,13,20,7,39,3,67,11,29.5,38.4,-8.9,1.4,1.1,2.4
153,Filip Chytil,22,NYR,C,67,8,14,22,-1,14,1.5,8,0,0,1,13,1,0,135,5.9,883,791,27,24,135,176,43.4,713,712,50.0,3.0,541,531,50.5,2.9,8.0,91.5,99.5,58.9,41.1,791,723,23,28,231,58.4,C,67,8,0.12,0.21,0.33,0.12,0.21,2.01,8,13,21,8,36,4,33,0,36.8,35.3,1.5,0.4,1.1,1.5
154,Anthony Cirelli,24,TBL,C,76,17,26,43,15,70,3.9,13,3,1,4,21,5,0,146,11.6,1392,1099,67,75,441,507,46.5,1037,917,53.1,2.8,789,679,53.7,3.2,10.4,90.9,101.3,45.4,54.6,1099,886,60,13,260,56.2,C,76,16,0.22,0.34,0.57,0.21,0.92,1.92,16,25,41,16,73,14,64,20,49.0,41.3,7.7,1.9,2.0,3.9
155,Casey Cizikas,30,NYI,C,74,10,6,16,-3,48,1.0,9,0,1,3,6,0,0,91,11.0,1017,825,43,138,534,427,55.6,579,803,41.9,-5.0,426,582,42.3,-4.8,8.6,92.9,101.6,30.6,69.4,825,709,33,32,147,61.9,C,74,7,0.14,0.08,0.22,0.1,0.65,1.23,10,6,16,7,28,0,44,14,23.6,35.6,-11.9,-0.3,1.3,1.0
157,Kale Clague,23,TOT,D,36,2,8,10,-10,20,1.0,2,0,0,0,5,3,0,26,7.7,603,1004,23,14,0,0,,396,473,45.6,-2.5,306,370,45.3,-3.4,6.0,91.8,97.8,61.0,39.0,1004,880,6,35,56,46.4,D,36,3,0.06,0.22,0.28,0.09,0.56,0.72,2,8,10,3,18,3,27,2,19.1,25.0,-5.8,0.4,0.5,1.0
158,Kyle Clifford,31,TOT,LW,25,1,3,4,-5,31,-0.1,1,0,0,0,3,0,0,29,3.4,220,528,5,50,3,4,42.9,185,189,49.5,-0.8,137,149,47.9,-2.3,8.2,88.3,96.5,65.6,34.4,528,515,5,5,44,65.9,LW,25,1,0.04,0.12,0.16,0.05,1.24,1.16,1,3,4,1,8,0,13,0,8.1,8.8,-0.6,-0.1,0.0,-0.1
159,Connor Clifton,26,BOS,D,60,2,8,10,-2,32,2.1,2,0,0,0,8,0,0,80,2.5,964,964,62,156,0,0,,816,703,53.7,-1.1,655,535,55.0,-1.2,7.0,90.0,97.0,50.5,49.5,964,888,16,14,149,53.7,D,60,3,0.03,0.13,0.17,0.05,0.53,1.33,2,8,10,3,35,0,45,8,37.4,28.3,9.1,0.0,2.1,2.1
160,Cal Clutterbuck,34,NYI,RW,59,6,9,15,-6,10,0.7,5,0,1,1,9,0,0,74,8.1,828,843,23,229,11,4,73.3,485,586,45.3,-2.2,365,426,46.1,-1.7,6.4,92.5,98.9,33.6,66.4,843,716,21,14,113,65.5,RW,59,6,0.1,0.15,0.25,0.1,0.17,1.25,6,9,15,6,18,0,40,16,20.0,25.8,-5.9,-0.3,0.9,0.7
161,Dylan Coghlan,23,VEG,D,59,3,10,13,-5,18,1.8,1,2,0,1,8,2,0,108,2.8,838,852,61,62,0,0,,774,688,52.9,0.8,584,484,54.7,1.5,6.2,92.0,98.2,53.8,46.2,852,773,20,28,218,49.5,D,59,4,0.05,0.17,0.22,0.07,0.31,1.83,3,9,12,4,32,5,33,1,33.4,31.4,1.9,0.5,1.3,1.8
162,Andrew Cogliano,34,TOT,LW,74,4,12,16,-18,20,0.0,3,0,1,0,11,0,1,75,5.3,938,760,31,104,8,13,38.1,601,775,43.7,-4.3,471,566,45.4,-3.2,8.1,88.6,96.6,37.0,63.0,760,650,29,23,128,58.6,LW/C,74,5,0.05,0.16,0.22,0.07,0.27,1.01,4,11,15,5,28,0,57,11,22.3,33.8,-11.5,-0.7,0.7,0.0
163,Ian Cole,32,CAR,D,75,2,17,19,15,83,4.4,2,0,0,1,16,0,1,77,2.6,1286,1029,104,110,0,0,,1106,834,57.0,1.6,846,631,57.3,2.8,8.7,91.4,100.1,55.1,44.9,1029,877,29,48,180,42.8,D,75,6,0.03,0.23,0.25,0.07,1.11,1.03,2,16,18,5,54,0,50,11,47.4,37.5,9.9,0.4,4.0,4.4
164,Blake Coleman,30,CGY,C,81,16,17,33,16,60,3.2,15,0,1,2,16,0,1,212,7.5,1200,889,44,163,2,17,10.5,1096,823,57.1,2.3,839,625,57.3,3.1,8.1,92.0,100.0,51.2,48.8,889,781,34,47,329,64.4,C,81,13,0.2,0.21,0.41,0.16,0.74,2.62,15,16,31,13,52,0,44,8,50.8,39.5,11.3,1.4,1.8,3.2
165,Ross Colton,25,TBL,C,79,22,17,39,4,24,4.2,21,1,0,4,13,4,0,159,13.8,1011,768,36,153,303,278,52.2,850,761,52.8,2.6,658,581,53.1,2.6,8.9,91.1,100.0,47.6,52.4,768,681,29,8,259,61.4,C,79,16,0.28,0.22,0.49,0.21,0.3,2.01,21,16,37,16,48,6,38,0,39.8,34.8,4.9,3.1,1.2,4.2
167,J.T. Compher,26,COL,LW,70,18,15,33,6,25,2.9,13,4,1,0,13,2,0,102,17.6,1143,979,55,31,338,319,51.4,816,866,48.5,-5.2,587,644,47.7,-4.9,10.7,92.1,102.8,44.5,55.5,979,770,26,18,199,51.3,LW,70,14,0.26,0.21,0.47,0.2,0.36,1.46,17,14,31,13,59,11,57,15,33.3,39.2,-5.9,1.7,1.2,2.9
168,Max Comtois,23,ANA,LW,52,6,10,16,-17,46,0.4,6,0,0,0,8,2,0,72,8.3,735,848,17,111,22,24,47.8,572,623,47.9,1.2,419,464,47.5,0.8,9.1,86.9,96.0,53.5,46.5,848,742,9,34,130,55.4,LW,52,6,0.12,0.19,0.31,0.11,0.88,1.38,6,9,15,6,33,6,44,0,23.3,29.9,-6.6,0.1,0.4,0.4
169,Kevin Connauton,31,TOT,D,39,1,2,3,-3,4,0.5,1,0,0,0,2,0,0,30,3.3,510,785,32,74,0,0,,438,497,46.8,-3.4,331,391,45.8,-5.3,8.4,91.7,100.1,56.1,43.9,785,754,6,16,67,44.8,D,39,1,0.03,0.05,0.08,0.03,0.1,0.77,1,2,3,1,22,0,27,2,21.5,23.5,-2.0,-0.2,0.7,0.5
171,Kyle Connor,25,WPG,LW,79,47,46,93,-3,4,10.6,36,8,3,9,26,20,0,317,14.8,1720,1307,23,32,1,6,14.3,1309,1309,50.0,0.7,1010,1037,49.3,-0.3,9.9,90.1,100.0,58.2,41.8,1307,1019,66,47,499,63.5,LW,79,38,0.59,0.58,1.18,0.48,0.05,4.01,46,44,90,37,116,38,92,11,66.6,65.0,1.6,8.7,1.9,10.6
172,Andrew Copp,27,TOT,C,72,21,32,53,15,16,5.4,16,3,2,5,24,7,1,183,11.5,1381,1151,41,45,377,332,53.2,1057,912,53.7,2.9,814,713,53.3,3.0,10.0,91.3,101.3,54.7,45.3,1151,880,34,43,283,64.7,C,72,20,0.29,0.44,0.74,0.28,0.22,2.54,21,30,51,20,81,19,71,24,47.1,44.2,2.9,3.3,2.2,5.4
174,Nick Cousins,28,NSH,C,68,9,13,22,-8,31,1.2,6,3,0,1,12,1,0,103,8.7,848,748,28,66,23,26,46.9,681,674,50.3,1.4,518,519,50.0,0.6,6.7,91.5,98.2,48.7,51.3,748,647,16,23,171,60.2,C,68,8,0.13,0.19,0.32,0.12,0.46,1.51,9,12,21,8,33,8,33,0,29.2,32.1,-2.8,0.6,0.7,1.2
175,Logan Couture,32,SJS,C,77,23,33,56,-11,18,5.4,16,5,2,3,20,12,1,199,11.6,1458,1136,58,92,621,654,48.7,1082,1191,47.6,2.9,824,855,49.1,3.4,8.9,90.2,99.1,44.0,56.0,1136,874,62,31,314,63.4,C,77,21,0.3,0.43,0.73,0.28,0.23,2.58,22,31,53,20,82,26,78,11,50.8,49.2,1.5,3.5,1.8,5.4
176,Sean Couturier,29,PHI,C,29,6,11,17,-6,14,1.2,4,2,0,2,7,3,1,79,7.6,591,1224,18,22,238,190,55.6,474,386,55.1,10.1,352,292,54.7,9.6,7.4,89.7,97.1,47.9,52.1,1223,924,25,17,136,58.1,C,29,6,0.21,0.38,0.59,0.22,0.48,2.72,6,10,16,6,30,10,35,9,17.5,17.8,-0.3,0.6,0.5,1.2
177,Charlie Coyle,29,BOS,C,82,16,28,44,-6,32,3.4,13,3,0,5,21,6,1,131,12.2,1427,1044,39,84,540,560,49.1,1079,1040,50.9,-4.4,872,782,52.7,-3.6,8.3,89.6,97.9,50.9,49.1,1044,832,39,42,214,61.2,C/RW,82,16,0.2,0.34,0.54,0.2,0.39,1.6,15,27,42,16,73,17,78,16,51.1,41.3,9.8,1.8,1.6,3.4
178,Dylan Cozens,20,BUF,C,79,13,25,38,-19,55,2.4,11,2,0,1,17,7,1,160,8.1,1256,954,22,35,383,457,45.6,944,942,50.1,1.9,714,738,49.2,1.9,7.9,89.3,97.3,57.6,42.4,954,808,33,30,265,60.4,C,79,14,0.16,0.32,0.48,0.18,0.7,2.03,13,24,37,14,67,24,68,6,38.5,45.6,-7.2,1.5,0.9,2.4
181,Sidney Crosby,34,PIT,C,69,31,53,84,19,32,9.4,23,8,0,9,31,22,0,208,14.9,1378,1198,37,50,760,690,52.4,1261,1065,54.2,3.8,971,829,53.9,2.1,10.5,92.3,102.8,62.7,37.3,1198,992,34,54,334,62.3,C,69,31,0.45,0.77,1.22,0.44,0.46,3.01,30,50,80,30,117,41,58,1,64.2,53.0,11.2,7.1,2.2,9.4
182,Lawson Crouse,24,ARI,LW,65,20,14,34,-9,52,3.0,16,3,1,4,10,4,0,131,15.3,1133,1046,36,181,16,32,33.3,738,884,45.5,1.8,555,656,45.8,2.8,10.1,90.3,100.4,42.7,57.3,1046,825,29,23,224,58.5,LW,65,15,0.31,0.22,0.52,0.22,0.8,2.02,19,13,32,14,51,11,70,21,32.1,39.5,-7.4,2.1,1.0,3.0
183,Austin Czarnik,29,TOT,C,17,2,5,7,5,0,0.8,2,0,0,0,5,0,0,14,14.3,185,654,7,3,23,36,39.0,147,122,54.6,5.9,104,88,54.2,5.9,13.9,91.0,105.0,48.8,51.2,654,606,6,4,29,48.3,C,17,2,0.12,0.29,0.41,0.14,0.0,0.82,2,5,7,2,12,1,7,1,6.3,6.2,0.1,0.4,0.4,0.8
184,Kirby Dach,21,CHI,C,70,9,17,26,-18,43,0.9,7,2,0,0,12,4,1,116,7.8,1263,1083,44,49,179,366,32.8,883,1006,46.7,0.3,630,716,46.8,0.3,9.4,88.3,97.6,51.8,48.2,1083,900,42,17,198,58.6,C,70,9,0.13,0.24,0.37,0.13,0.61,1.66,9,16,25,9,58,12,80,16,40.2,41.7,-1.5,-0.2,1.1,0.9
185,Evgenii Dadonov,32,VEG,RW,78,20,23,43,4,18,4.2,15,5,0,4,20,3,0,177,11.3,1234,949,25,65,1,4,20.0,1075,943,53.3,0.9,774,681,53.2,-0.5,9.7,90.4,100.1,56.6,43.4,949,805,17,30,300,59.0,RW,78,17,0.26,0.29,0.55,0.22,0.23,2.27,19,22,41,16,75,18,53,0,49.7,42.8,6.9,2.7,1.4,4.2
186,Jonathan Dahlen,24,SJS,C,61,12,10,22,-25,12,1.3,9,3,0,2,6,4,0,105,11.4,841,828,34,16,0,1,0.0,705,784,47.3,2.5,525,555,48.6,2.5,6.9,88.7,95.6,46.0,54.0,828,719,21,23,178,59.0,C,61,9,0.2,0.16,0.36,0.15,0.2,1.72,12,9,21,9,36,10,51,0,32.1,33.6,-1.5,0.9,0.4,1.3
187,Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,68,7.1,10,3,0,3,21,18,1,170,7.6,1921,1441,91,121,0,0,,1412,1364,50.9,4.1,1085,1122,49.2,3.0,7.9,89.6,97.5,59.0,41.0,1441,1202,27,51,321,53.0,D,80,18,0.16,0.5,0.66,0.23,0.85,2.13,13,38,51,17,96,26,107,15,62.3,68.0,-5.8,4.1,3.0,7.1
192,Phillip Danault,28,LAK,C,79,27,24,51,14,38,6.1,25,2,0,5,19,2,3,194,13.9,1432,1088,49,74,676,586,53.6,1261,960,56.8,3.6,1006,704,58.8,5.3,8.7,90.2,98.9,50.1,49.9,1088,862,22,29,299,64.9,C,79,22,0.34,0.3,0.65,0.27,0.48,2.46,26,23,49,20,81,15,69,17,57.1,44.4,12.7,3.7,2.3,6.1
193,Justin Danforth,28,CBJ,RW,45,10,4,14,-5,10,1.1,10,0,0,1,3,1,0,72,13.9,566,754,22,85,107,92,53.8,504,481,51.2,4.1,366,368,49.9,4.0,8.6,90.3,98.9,45.1,54.9,754,708,15,2,131,55.0,RW/C,45,6,0.22,0.09,0.31,0.14,0.22,1.6,10,4,14,7,24,2,29,2,19.3,25.2,-5.8,0.7,0.4,1.1
194,Laurent Dauphin,26,MTL,C,38,4,8,12,-10,25,0.4,4,0,0,0,8,0,0,50,8.0,505,798,27,31,104,143,42.1,376,446,45.7,1.1,287,344,45.5,1.0,9.6,88.5,98.1,49.8,50.2,798,719,17,13,84,59.5,C,38,4,0.11,0.21,0.32,0.11,0.66,1.32,4,8,12,4,20,0,35,5,16.5,26.6,-10.2,0.1,0.2,0.4
197,Calvin de Haan,30,CHI,D,69,4,4,8,-21,33,1.4,4,0,0,0,4,0,0,107,3.7,1308,1137,172,146,0,0,,1010,1140,47.0,1.7,740,804,47.9,3.0,6.9,90.0,96.9,48.6,51.4,1137,1035,18,59,225,47.6,D,69,3,0.06,0.06,0.12,0.05,0.48,1.55,4,4,8,3,40,0,80,19,45.2,49.9,-4.7,-0.5,1.9,1.4
199,Anthony DeAngelo,26,CAR,D,64,10,41,51,30,56,9.3,8,2,0,2,23,18,0,151,6.6,1268,1189,59,41,0,0,,1153,919,55.6,0.4,890,717,55.4,0.9,11.9,92.2,104.1,59.2,40.8,1188,996,27,39,264,57.2,D,64,16,0.16,0.64,0.8,0.26,0.88,2.36,10,39,49,16,105,32,43,0,48.6,43.0,5.6,4.3,5.1,9.3
200,Alex DeBrincat,24,CHI,RW,82,41,37,78,-13,19,8.4,27,14,0,6,23,14,0,270,15.2,1710,1251,35,101,24,40,37.5,1255,1279,49.5,5.1,932,952,49.5,5.3,10.3,88.2,98.5,65.2,34.8,1251,994,67,47,470,57.4,RW,82,32,0.5,0.45,0.95,0.39,0.23,3.29,40,35,75,31,113,39,94,7,57.6,55.4,2.2,6.5,1.9,8.4
201,Jake DeBrusk,25,BOS,LW,77,25,17,42,6,10,4.9,22,3,0,8,16,1,0,184,13.6,1158,902,25,62,10,12,45.5,1054,825,56.1,2.5,852,654,56.6,1.5,7.5,90.9,98.4,52.8,47.2,902,785,35,26,278,66.5,LW,77,18,0.32,0.22,0.55,0.23,0.13,2.39,24,16,40,17,56,7,45,2,53.0,34.3,18.8,3.2,1.7,4.9
202,Danny DeKeyser,31,DET,D,59,0,11,11,-8,26,1.5,0,0,0,0,11,0,0,57,0.0,1092,1110,102,49,0,0,,744,946,44.0,-2.4,560,735,43.2,-3.2,8.2,91.5,99.6,45.1,54.9,1110,972,7,21,119,47.9,D,59,3,0.0,0.19,0.19,0.05,0.44,0.97,0,10,10,3,38,0,62,16,34.9,48.7,-13.7,-0.3,1.8,1.5
203,Michael Del Zotto,31,OTT,D,26,3,10,13,-4,4,1.9,2,1,0,0,9,1,0,35,8.6,475,1095,34,42,0,0,,387,423,47.8,2.5,274,316,46.4,0.7,12.4,87.8,100.2,41.4,58.6,1095,983,5,17,81,43.2,D,26,4,0.12,0.38,0.5,0.17,0.15,1.35,3,9,12,4,28,3,32,3,17.4,17.3,0.2,1.0,0.9,1.9
205,Dylan DeMelo,28,WPG,D,76,1,12,13,10,28,3.1,0,0,1,0,11,0,1,78,1.3,1406,1110,108,113,0,0,,1083,1057,50.6,1.7,837,788,51.5,2.7,8.1,92.7,100.8,50.3,49.7,1110,951,17,49,141,55.3,D,76,4,0.01,0.16,0.17,0.05,0.37,1.03,1,11,12,4,52,0,73,31,50.5,49.0,1.4,-0.4,3.5,3.1
207,Travis Dermott,25,TOT,D,60,2,5,7,9,14,2.1,2,0,0,1,5,0,0,46,4.3,920,920,46,55,0,0,,837,752,52.7,-0.7,630,587,51.8,-1.4,8.9,92.6,101.5,55.3,44.7,920,882,7,26,100,46.0,D,60,2,0.03,0.08,0.12,0.04,0.23,0.77,2,5,7,2,41,0,33,1,39.8,33.7,6.1,-0.3,2.3,2.1
208,Nicolas Deslauriers,30,TOT,LW,81,8,5,13,-11,113,0.2,7,0,1,1,5,0,0,90,8.9,921,682,49,263,1,3,25.0,627,803,43.8,-6.5,466,591,44.1,-6.4,5.7,92.8,98.5,44.6,55.4,682,606,7,14,158,57.0,LW,81,6,0.1,0.06,0.16,0.07,1.4,1.11,8,5,13,6,20,0,38,7,27.2,33.0,-5.9,-0.5,0.7,0.2
209,Connor Dewar,22,MIN,C,35,2,4,6,-4,25,-0.1,2,0,0,1,3,1,0,44,4.5,346,594,22,48,62,71,46.6,290,255,53.2,0.5,209,181,53.6,1.0,6.4,89.6,96.0,42.0,58.0,594,547,9,6,81,54.3,C,35,2,0.06,0.11,0.17,0.06,0.71,1.26,2,4,6,2,11,1,15,1,11.2,9.3,1.9,-0.2,0.1,-0.1
210,Jason Dickinson,26,VAN,C,62,5,6,11,-1,19,0.2,5,0,0,0,6,0,0,66,7.6,809,783,43,101,123,166,42.6,611,664,47.9,-2.6,443,483,47.8,-2.8,6.7,93.8,100.5,44.6,55.4,783,689,20,9,125,52.8,C,62,4,0.08,0.1,0.18,0.07,0.31,1.06,5,6,11,4,21,0,39,17,25.4,30.4,-4.9,-0.7,0.9,0.2
211,Brenden Dillon,31,WPG,D,79,3,17,20,16,67,4.5,3,0,0,0,17,0,0,85,3.5,1488,1130,108,212,0,0,,1203,1303,48.0,-1.8,925,992,48.3,-1.6,9.9,92.5,102.3,53.4,46.6,1130,1022,16,51,203,41.9,D,79,6,0.04,0.22,0.25,0.08,0.85,1.08,3,16,19,6,69,0,79,26,61.3,63.6,-2.3,0.4,4.1,4.5
212,Cam Dineen,23,ARI,D,34,0,7,7,-16,4,0.1,0,0,0,0,7,0,0,52,0.0,532,938,44,22,0,0,,408,490,45.4,1.0,318,372,46.1,1.8,6.3,88.4,94.7,52.1,47.9,938,859,6,18,110,47.3,D,34,2,0.0,0.21,0.21,0.06,0.12,1.53,0,7,7,2,15,1,34,4,18.2,24.1,-5.9,0.0,0.1,0.1
213,Noah Dobson,22,NYI,D,80,13,38,51,-3,18,8.3,10,3,0,4,19,19,0,190,6.8,1717,1288,154,78,0,0,,1248,1456,46.2,0.0,942,1085,46.5,0.0,9.1,91.9,101.0,52.6,47.4,1288,1089,27,82,401,47.4,D,80,18,0.16,0.48,0.64,0.22,0.23,2.38,13,36,49,17,94,29,75,7,62.9,65.9,-2.9,4.2,4.1,8.3
